start_city,start_lat,start_lng,end_city,end_lat,end_lng,trip_start_time,trip_end_time,trip_duration_minutes,traffic_wait_minutes,traffic_level,passenger_count,day_of_week
Gjilan,42.4666,21.4666,Pristina,42.6629,21.1655,2024-07-11 19:22,2024-07-11 19:55,33,4,High,20,Tuesday
Ferizaj,42.3706,21.155,Gjakova,42.3803,20.43,2024-05-09 14:18,2024-05-09 15:34,76,5,Light,6,Wednesday
Pristina,42.6629,21.1655,Ferizaj,42.3706,21.155,2024-02-20 15:22,2024-02-20 18:07,165,41,Light,26,Wednesday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2025-01-26 07:29,2025-01-26 09:48,139,25,High,24,Thursday
Gjilan,42.4666,21.4666,Gjakova,42.3803,20.43,2024-03-07 05:14,2024-03-07 06:06,52,13,Medium,18,Thursday
Mitrovica,42.8906,20.8664,Gjilan,42.4666,21.4666,2025-05-01 08:18,2025-05-01 09:36,78,44,Medium,28,Friday
Peja,42.65,20.3,Ferizaj,42.3706,21.155,2024-11-04 07:50,2024-11-04 10:38,168,21,High,20,Saturday
Prizren,42.2139,20.7417,Pristina,42.6629,21.1655,2024-02-28 18:20,2024-02-28 21:10,170,11,Light,14,Wednesday
Gjakova,42.3803,20.43,Peja,42.65,20.3,2024-12-29 06:08,2024-12-29 06:49,41,14,High,24,Tuesday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2025-11-04 10:02,2025-11-04 12:53,171,16,Medium,20,Thursday
Ferizaj,42.3706,21.155,Peja,42.65,20.3,2025-06-19 05:42,2025-06-19 07:46,124,55,Medium,12,Tuesday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2025-06-18 13:25,2025-06-18 14:50,85,26,High,11,Wednesday
Gjakova,42.3803,20.43,Peja,42.65,20.3,2025-07-26 14:08,2025-07-26 15:20,72,49,Medium,16,Tuesday
Pristina,42.6629,21.1655,Gjakova,42.3803,20.43,2025-01-10 05:20,2025-01-10 06:35,75,49,High,8,Friday
Peja,42.65,20.3,Mitrovica,42.8906,20.8664,2025-12-14 10:46,2025-12-14 11:50,64,53,Medium,25,Monday
Gjilan,42.4666,21.4666,Mitrovica,42.8906,20.8664,2024-02-12 09:55,2024-02-12 11:45,110,11,Light,21,Wednesday
Mitrovica,42.8906,20.8664,Prizren,42.2139,20.7417,2025-05-11 17:32,2025-05-11 20:02,150,5,Light,9,Saturday
Ferizaj,42.3706,21.155,Prizren,42.2139,20.7417,2024-06-09 16:18,2024-06-09 17:21,63,17,Medium,9,Tuesday
Gjakova,42.3803,20.43,Mitrovica,42.8906,20.8664,2024-09-12 15:15,2024-09-12 16:38,83,44,Light,29,Monday
Prizren,42.2139,20.7417,Gjakova,42.3803,20.43,2024-06-27 10:37,2024-06-27 11:23,46,1,Light,17,Thursday
Ferizaj,42.3706,21.155,Peja,42.65,20.3,2024-07-01 06:04,2024-07-01 06:33,29,7,High,13,Wednesday
Gjilan,42.4666,21.4666,Prizren,42.2139,20.7417,2024-12-01 06:42,2024-12-01 08:57,135,26,Light,28,Sunday
Peja,42.65,20.3,Gjilan,42.4666,21.4666,2025-03-15 17:48,2025-03-15 18:06,18,12,Medium,12,Thursday
Pristina,42.6629,21.1655,Prizren,42.2139,20.7417,2024-09-16 10:51,2024-09-16 11:43,52,34,Light,15,Tuesday
Peja,42.65,20.3,Gjilan,42.4666,21.4666,2025-10-11 09:40,2025-10-11 10:12,32,35,High,30,Friday
Gjilan,42.4666,21.4666,Ferizaj,42.3706,21.155,2025-05-26 12:36,2025-05-26 14:11,95,10,Light,10,Wednesday
Pristina,42.6629,21.1655,Peja,42.65,20.3,2025-12-19 07:10,2025-12-19 07:28,18,27,High,23,Friday
Prizren,42.2139,20.7417,Peja,42.65,20.3,2024-11-02 08:11,2024-11-02 11:05,174,11,Medium,10,Saturday
Ferizaj,42.3706,21.155,Gjilan,42.4666,21.4666,2025-08-22 09:38,2025-08-22 10:59,81,59,Medium,16,Friday
Mitrovica,42.8906,20.8664,Peja,42.65,20.3,2024-04-16 11:10,2024-04-16 14:03,173,54,Light,11,Wednesday
Peja,42.65,20.3,Pristina,42.6629,21.1655,2024-12-13 11:51,2024-12-13 14:08,137,48,Medium,21,Thursday
Prizren,42.2139,20.7417,Ferizaj,42.3706,21.155,2024-11-08 08:40,2024-11-08 10:55,135,6,Medium,18,Saturday
Gjakova,42.3803,20.43,Gjilan,42.4666,21.4666,2024-11-14 18:18,2024-11-14 18:54,36,12,Medium,7,Friday
Mitrovica,42.8906,20.8664,Ferizaj,42.3706,21.155,2025-03-15 15:00,2025-03-15 17:16,136,27,High,21,Saturday
Peja,42.65,20.3,Pristina,42.6629,21.1655,2024-06-17 16:03,2024-06-17 18:35,152,18,High,22,Saturday
Pristina,42.6629,21.1655,Gjakova,42.3803,20.43,2024-03-21 08:10,2024-03-21 09:39,89,5,Light,23,Friday
Gjakova,42.3803,20.43,Ferizaj,42.3706,21.155,2025-12-02 12:10,2025-12-02 13:41,91,50,Light,11,Sunday
Ferizaj,42.3706,21.155,Peja,42.65,20.3,2025-10-04 12:53,2025-10-04 13:53,60,56,Medium,20,Monday
